,name,rating,department,feedback,school
411,Amy Moran,4.0,Biology,87%,University of Hawaii at Manoa
412,Renee Pearson,1.5,Communicology,0%,University of Hawaii at Manoa
413,Katherine Achacoso,5.0,American Studies,100%,University of Hawaii at Manoa
414,Joshua Irvine,3.3,Engineering,63%,University of Hawaii at Manoa
415,Xiao Yuanzhang,2.5,Engineering,50%,University of Hawaii at Manoa
416,Maile Gresham,4.8,English,,University of Hawaii at Manoa
417,Sheri Gon,3.7,Medicine,,University of Hawaii at Manoa
418,J.D. Brown,4.5,Languages,,University of Hawaii at Manoa
419,Dick Schmidt,4.5,Languages,,University of Hawaii at Manoa
420,Amy Stehlik,0.0,Communication,,University of Hawaii at Manoa
421,Rebecca Horne,4.5,Fine Arts,,University of Hawaii at Manoa
422,Hokulani Aikau,4.3,Political Science,,University of Hawaii at Manoa
423,Joseph Zilliox,2.7,Education,,University of Hawaii at Manoa
424,David Frederick,4.6,Psychology,100%,University of Hawaii at Manoa
425,Lin Liu,3.3,Sociology,67%,University of Hawaii at Manoa
426,Marc Le Pape,1.2,Computer Science,0%,University of Hawaii at Manoa
427,Brooke Hasegawa,4.1,Business,100%,University of Hawaii at Manoa
428,Evelyn Coffey,4.9,French,100%,University of Hawaii at Manoa
429,Jaerim Choi,4.5,Economics,100%,University of Hawaii at Manoa
430,Suzanna Reiss,4.7,History,100%,University of Hawaii at Manoa
431,Nori Tarui,3.6,Economics,100%,University of Hawaii at Manoa
432,Robert McGlone,4.4,History,,University of Hawaii at Manoa
433,Vina Lanzona,2.4,History,34%,University of Hawaii at Manoa
434,Kyle Hampton,4.3,Economics,,University of Hawaii at Manoa
435,Marja Sarvimaki,3.8,Architecture,,University of Hawaii at Manoa
436,Gay Satsuma,4.2,Pacific & Asian Studies,100%,University of Hawaii at Manoa
437,Adolf Mader,2.1,Mathematics,,University of Hawaii at Manoa
438,H Ronald Riggs,1.9,Engineering,50%,University of Hawaii at Manoa
439,Albert Kim,4.5,Engineering,100%,University of Hawaii at Manoa
440,Clark Liu,0.0,Engineering,,University of Hawaii at Manoa
441,Chittaranjan Ray,1.5,Engineering,,University of Hawaii at Manoa
442,David Ma,1.7,Engineering,,University of Hawaii at Manoa
443,Constantinos S. Papacostas,2.8,Engineering,,University of Hawaii at Manoa
444,Peter Lenhart,3.0,Accounting,,University of Hawaii at Manoa
445,Cathryn Clayton,4.7,Anthropology,,University of Hawaii at Manoa
446,Georgia Yamashita,4.4,Family Studies,,University of Hawaii at Manoa
447,Helene Tom,0.0,Education,,University of Hawaii at Manoa
448,Michael Weinstein,3.1,Sociology,,University of Hawaii at Manoa
449,Ed Bieda,5.0,Psychology,,University of Hawaii at Manoa
450,Saiful Momen,2.5,Psychology,,University of Hawaii at Manoa
451,David Carlon,4.5,Zoology,,University of Hawaii at Manoa
452,Patricia Donnegan,3.8,Languages,,University of Hawaii at Manoa
453,Nicholas Ordway,3.3,Business,45%,University of Hawaii at Manoa
454,Y. Han Lau,1.6,Biology,0%,University of Hawaii at Manoa
455,Terry Klafehn,4.6,Japanese,100%,University of Hawaii at Manoa
456,John Haig,4.1,Japanese,,University of Hawaii at Manoa
457,Joyce Vogler,4.4,Nursing,,University of Hawaii at Manoa
458,Stephen Saul,0.0,Agriculture,,University of Hawaii at Manoa
459,Chunfeng Lin,5.0,Communication,,University of Hawaii at Manoa
460,Shaobin Zhong,0.0,Agriculture,,University of Hawaii at Manoa
461,Joel Cohn,3.7,Literature,,University of Hawaii at Manoa
462,Heinz Gert De Couet,2.4,Zoology,0%,University of Hawaii at Manoa
463,Sean Callahan,4.5,Biology,,University of Hawaii at Manoa
464,Incoronata (nadia) Inserra,2.0,English,0%,University of Hawaii at Manoa
465,Chintana Takahashi,5.0,Languages,,University of Hawaii at Manoa
466,Sang Yee Cheon,4.8,Korean,100%,University of Hawaii at Manoa
467,Noah Viernes,4.8,Political Science,,University of Hawaii at Manoa
468,Corey Jamieson,4.6,Chemistry,,University of Hawaii at Manoa
469,Vernadette Gonzalez,4.2,American Studies,,University of Hawaii at Manoa
470,Caroline Sinavaiana,2.4,English,34%,University of Hawaii at Manoa
471,Mushtaq Ikramullah,3.1,Kinesiology,,University of Hawaii at Manoa
472,Sabrina Saiki-Mita,4.8,Music,,University of Hawaii at Manoa
473,Kayoko Madsen,3.5,Japanese,0%,University of Hawaii at Manoa
474,Valli Kanuha,4.7,Sociology,100%,University of Hawaii at Manoa
475,Nandita Sharma,3.9,Sociology,100%,University of Hawaii at Manoa
476,Stephen Vargo,3.0,Marketing,,University of Hawaii at Manoa
477,Aiddy Weisbecker,4.0,Spanish,,University of Hawaii at Manoa
478,Kristy Ringor,5.0,American Studies,100%,University of Hawaii at Manoa
479,Sara Olson,5.0,Languages,,University of Hawaii at Manoa
480,Jermey Henkel,4.5,Philosophy,,University of Hawaii at Manoa
481,F Bain,3.6,English,,University of Hawaii at Manoa
482,Wayne Iwaoka,3.8,Food Science,,University of Hawaii at Manoa
483,Brandy McDougall,4.7,English,88%,University of Hawaii at Manoa
484,Amelia Pasi,5.0,Not Specified,100%,University of Hawaii at Manoa
485,F Gae,0.0,Urban Planning,,University of Hawaii at Manoa
486,Aki Teshigahara,4.9,Japanese,100%,University of Hawaii at Manoa
487,Anthony Amend,4.7,Biology,88%,University of Hawaii at Manoa
488,Reginald Kwok,3.3,Asian Studies,,University of Hawaii at Manoa
489,David Swift,3.7,Sociology,,University of Hawaii at Manoa
490,David McCraw,4.4,East Asian Lang. & Literature,100%,University of Hawaii at Manoa
491,Gregg Wong,4.5,Kinesiology,,University of Hawaii at Manoa
492,Dan Jenkins,2.6,Agriculture,,University of Hawaii at Manoa
493,Misako Steverson,4.1,Japanese,,University of Hawaii at Manoa
494,Pensri Ho,2.6,Ethnic Studies,,University of Hawaii at Manoa
495,Sun Young Park,3.1,Hospitality,,University of Hawaii at Manoa
496,Mark Ridgley,1.6,Geography,,University of Hawaii at Manoa
497,Bruce Chorpita,5.0,Psychology,,University of Hawaii at Manoa
498,Krista Steinfeld,3.6,Hawaiian Studies,,University of Hawaii at Manoa
499,Clifton Tanabe,4.9,Education,,University of Hawaii at Manoa
500,David Shinn,3.3,Chemistry,,University of Hawaii at Manoa
501,Linda Bangert Harris,3.7,Business,,University of Hawaii at Manoa
502,Gay Sibley,4.5,English,,University of Hawaii at Manoa
503,Amy Matsen,4.6,Women's Studies,,University of Hawaii at Manoa
504,James Moncur,2.6,Economics,,University of Hawaii at Manoa
505,Robert Curry,4.0,Economics,,University of Hawaii at Manoa
506,Peter Flachsbart,3.7,Urban Planning,,University of Hawaii at Manoa
507,Elisabeth Hutchison,4.7,Law,,University of Hawaii at Manoa
508,Yung-Hee Kim,2.5,Korean,0%,University of Hawaii at Manoa
509,Leslie Lopez,4.8,Education,,University of Hawaii at Manoa
510,Hong Jiang,3.2,Geography,50%,University of Hawaii at Manoa
511,Andrew Dewald,4.4,Psychology,94%,University of Hawaii at Manoa
512,Soo Jin Jung,4.8,Korean,,University of Hawaii at Manoa
513,Luciano Minerbi,4.3,Urban Planning,,University of Hawaii at Manoa
514,Ashley Lukens,3.7,Political Science,,University of Hawaii at Manoa
515,Matthew Peck,3.3,Spanish,,University of Hawaii at Manoa
516,Cathy Kaiama,4.0,Accounting,100%,University of Hawaii at Manoa
517,Maria Astua,2.3,Languages,,University of Hawaii at Manoa
518,Jonathan Osorio,3.6,Hawaiian Studies,50%,University of Hawaii at Manoa
519,Nathan Hiraoka,5.0,Kinesiology,,University of Hawaii at Manoa
520,Xiaoming Hu,4.4,Languages,,University of Hawaii at Manoa
521,Mathew Savage,4.7,Speech,,University of Hawaii at Manoa
522,Jim Henry,4.9,English,,University of Hawaii at Manoa
523,Roy Perrett,2.3,Philosophy,0%,University of Hawaii at Manoa
524,Stephen Tschudi,5.0,East Asian Lang. & Literature,,University of Hawaii at Manoa
525,Diane Lois Parker,0.0,Education,,University of Hawaii at Manoa
526,Maqsudul Alam,3.0,Biology,,University of Hawaii at Manoa
527,Saori Hoshi,4.9,Japanese,,University of Hawaii at Manoa
528,Rachele Vogelpohl Vogelpohl,3.5,Kinesiology,,University of Hawaii at Manoa
529,Glenn Man,4.0,English,100%,University of Hawaii at Manoa
530,John Mayer,4.8,Languages,100%,University of Hawaii at Manoa
531,David Toohey,1.5,Political Science,,University of Hawaii at Manoa
532,Miriam Fuchs,4.5,English,,University of Hawaii at Manoa
533,Lysandra Cook,3.3,Education,,University of Hawaii at Manoa
534,Zachary Kent,4.8,Mathematics,,University of Hawaii at Manoa
535,Jonathan Jarvis,5.0,Sociology,,University of Hawaii at Manoa
536,M Chyaba,2.8,Mathematics,,University of Hawaii at Manoa
537,Glen Mann,3.6,English,,University of Hawaii at Manoa
538,Wesley Fong,3.8,Law,100%,University of Hawaii at Manoa
539,Julie Brock,2.7,Zoology,100%,University of Hawaii at Manoa
540,Andrew Taylor,5.0,Zoology,,University of Hawaii at Manoa
541,Hazel Parcon,4.5,Economics,100%,University of Hawaii at Manoa
542,Joe Genz,4.5,Anthropology,,University of Hawaii at Manoa
543,Karadeen Kam,3.6,Speech,100%,University of Hawaii at Manoa
544,Cynthia Tsark,4.3,Design,100%,University of Hawaii at Manoa
545,Hyong June Park,4.3,Architecture,,University of Hawaii at Manoa
546,. Luna,4.8,Anthropology,,University of Hawaii at Manoa
547,Frank Stewart,4.5,English,,University of Hawaii at Manoa
548,Roger Debreceny,3.5,Accounting,,University of Hawaii at Manoa
549,Linda Kane,2.2,Fine Arts,,University of Hawaii at Manoa
550,John Stimson,1.3,Zoology,,University of Hawaii at Manoa
551,Budi Staven,3.2,Design,,University of Hawaii at Manoa
552,Harold Richins,3.5,Hospitality,,University of Hawaii at Manoa
553,Makanani Parker,2.9,Hawaiian Studies,100%,University of Hawaii at Manoa
554,R Netell,3.2,English,,University of Hawaii at Manoa
555,Carmen Nolte,4.9,English,100%,University of Hawaii at Manoa
556,R Adiga,3.7,English,0%,University of Hawaii at Manoa
557,Olga Cordero-Brana,2.3,Mathematics,50%,University of Hawaii at Manoa
558,Reem Bassous,4.7,Fine Arts,0%,University of Hawaii at Manoa
559,Ethel Villalobos,4.2,Women's Studies,,University of Hawaii at Manoa
560,Jonathan Baker,4.3,Anthropology,100%,University of Hawaii at Manoa
561,James Wills,2.4,Marketing,0%,University of Hawaii at Manoa
562,Clifford Clarke,4.5,Communication,,University of Hawaii at Manoa
563,Gregg Romano,0.0,English,,University of Hawaii at Manoa
564,Christopher Kelsey,4.9,English,100%,University of Hawaii at Manoa
565,Roy Gal,4.3,Astronomy,100%,University of Hawaii at Manoa
566,Erica Okada,3.2,Business,,University of Hawaii at Manoa
567,Keawe Lopes,3.9,Hawaiian,100%,University of Hawaii at Manoa
568,N Losch,3.0,Hawaiian,,University of Hawaii at Manoa
569,Marie Kumabe,4.9,Travel Industry,,University of Hawaii at Manoa
570,Faith Milnes,2.7,Fine Arts,,University of Hawaii at Manoa
571,Rucci Aamodt,4.5,Music,100%,University of Hawaii at Manoa
572,Stephen O'Harrow,4.5,East Asian Lang. & Literature,,University of Hawaii at Manoa
573,L Keawe,4.4,Hawaiian Studies,100%,University of Hawaii at Manoa
574,Min Koo Choi,4.5,Korean,,University of Hawaii at Manoa
575,Dimal Disanayake,4.8,Film,,University of Hawaii at Manoa
576,Kenneth Kipnis,3.5,Philosophy,,University of Hawaii at Manoa
577,Ronaele Whittington,2.7,Humanities,,University of Hawaii at Manoa
578,Norma Fujise,4.6,Nursing,,University of Hawaii at Manoa
579,Fred Bail,2.0,Education,,University of Hawaii at Manoa
580,Barry Menikoff,2.7,English,,University of Hawaii at Manoa
581,Blake Hendrickson,4.2,Speech,0%,University of Hawaii at Manoa
582,Hye-young Kwak,0.0,Korean,,University of Hawaii at Manoa
583,Erin Brown,2.2,Speech,,University of Hawaii at Manoa
584,Erica Clayton,4.9,English,,University of Hawaii at Manoa
585,Ania Wieczorek,4.8,Agriculture,,University of Hawaii at Manoa
586,Debbie Gundaya,3.1,Economics,,University of Hawaii at Manoa
587,Sheleigh Solis,3.4,Hawaiian Studies,,University of Hawaii at Manoa
588,Sandra Sinclair,3.8,Nursing,,University of Hawaii at Manoa
589,Krista Hodges,2.7,Sociology,7%,University of Hawaii at Manoa
590,Thomas Osborne,4.4,Music,,University of Hawaii at Manoa
591,Gavin Furukawa,3.4,English Language Institute,,University of Hawaii at Manoa
592,Katherine Aumer-Ryan,4.2,Psychology,,University of Hawaii at Manoa
593,John Cusick,2.5,Geography,0%,University of Hawaii at Manoa
594,Don Drake,4.5,Biology,80%,University of Hawaii at Manoa
595,Sachin Ruikar,3.8,Information Science,100%,University of Hawaii at Manoa
596,Dennis Streveler,2.8,Computer Science,100%,University of Hawaii at Manoa
597,A Seita,0.0,Information Science,100%,University of Hawaii at Manoa
598,Rachel Mamiya,4.5,Spanish,100%,University of Hawaii at Manoa
599,Mary Babcock,4.0,Fine Arts,86%,University of Hawaii at Manoa
600,James Potemra,4.7,Oceanography,100%,University of Hawaii at Manoa
601,Michael Gardner,0.0,Asian Studies,,University of Hawaii at Manoa
602,Veronica Hotton,4.3,Geography,,University of Hawaii at Manoa
603,Linda Dorn,4.0,Film,,University of Hawaii at Manoa
604,John Harrison,0.0,Public Policy,,University of Hawaii at Manoa
605,Suzanne Zeng,4.2,East Asian Lang. & Literature,,University of Hawaii at Manoa
606,Evan Yoshimura,4.7,Mathematics,,University of Hawaii at Manoa
607,Betty Tamayo,4.8,Nursing,,University of Hawaii at Manoa
608,Ritsuko Narita,0.0,Linguistics,,University of Hawaii at Manoa
609,Jessica Fine,0.0,Spanish,,University of Hawaii at Manoa
610,Jake Terrell,4.6,Linguistics,100%,University of Hawaii at Manoa
611,Hazel Beh,4.3,Law,100%,University of Hawaii at Manoa
612,James Viernes,4.5,Pacific & Asian Studies,,University of Hawaii at Manoa
613,Trang Phan,1.8,Finance,,University of Hawaii at Manoa
614,Leanne Sims,3.5,English,100%,University of Hawaii at Manoa
615,Supachai Srisuchart,2.3,Economics,,University of Hawaii at Manoa
616,Richard Gazan,3.1,Computer Science,,University of Hawaii at Manoa
617,Uluwehi Hopkins,5.0,Hawaiian Studies,,University of Hawaii at Manoa
618,Kai Gaspar,4.8,English,,University of Hawaii at Manoa
619,Christine Beaule,4.3,Anthropology,100%,University of Hawaii at Manoa
620,Dina Yoshimi,2.3,Japanese,25%,University of Hawaii at Manoa
621,Lufi Luteru,3.6,Hawaiian Studies,,University of Hawaii at Manoa
622,Sorin Huh,4.7,Korean,,University of Hawaii at Manoa
623,R Luna,5.0,Biology,,University of Hawaii at Manoa
624,Jennifer Matayoshi,4.5,Speech,88%,University of Hawaii at Manoa
625,Matthew Shores,4.4,Japanese,,University of Hawaii at Manoa
626,Lucy Jokiel,2.8,Journalism,,University of Hawaii at Manoa
627,Janice Uchida,2.7,Environmental Studies,0%,University of Hawaii at Manoa
628,Marta Gonazalez-Lloret,4.2,Spanish,,University of Hawaii at Manoa
629,Bruce Suwa,3.4,Hawaiian,,University of Hawaii at Manoa
630,Spencer Leineweber,3.3,Architecture,,University of Hawaii at Manoa
631,Leonidas Doumas,4.0,Psychology,,University of Hawaii at Manoa
632,Kathryn Davis,0.0,Languages,,University of Hawaii at Manoa
633,Brandy Frazier,4.2,Psychology,,University of Hawaii at Manoa
634,Masumi Hamada,4.1,Japanese,,University of Hawaii at Manoa
635,Hye-Eun Kate Lee,3.5,Speech,,University of Hawaii at Manoa
636,Laxman Sharma,4.7,Engineering,,University of Hawaii at Manoa
637,Chanju Mun,4.0,Philosophy,,University of Hawaii at Manoa
638,Estelle Codier,2.7,Nursing,,University of Hawaii at Manoa
639,Megan Mount,4.8,Music,,University of Hawaii at Manoa
640,Wei Zhang,4.3,Sociology,100%,University of Hawaii at Manoa
641,Lilia Omarouayache,4.7,French,,University of Hawaii at Manoa
642,Karen Meech,1.9,Astronomy,,University of Hawaii at Manoa
643,Ann Rayson,5.0,English,,University of Hawaii at Manoa
644,Kerri Cummins,4.2,Zoology,50%,University of Hawaii at Manoa
645,Ying Liu,4.2,Business,,University of Hawaii at Manoa
646,Yoko Makishima,4.7,Japanese,,University of Hawaii at Manoa
647,Alan Stockton,3.5,Astronomy,,University of Hawaii at Manoa
648,Kimberly Brooks,0.0,Travel Industry,,University of Hawaii at Manoa
649,Blane Benevides,4.8,Hawaiian Studies,100%,University of Hawaii at Manoa
650,Marcia Morgado,4.0,Family Studies,,University of Hawaii at Manoa
651,Kris Palagi,4.0,Architecture,100%,University of Hawaii at Manoa
652,John Kupchik,5.0,Linguistics,,University of Hawaii at Manoa
653,Shu-Ling Wu,4.0,Languages,,University of Hawaii at Manoa
654,Kelly Merrill,4.5,Education,,University of Hawaii at Manoa
655,Eric Szarmes,4.7,Physics,100%,University of Hawaii at Manoa
656,Reece Jones,4.8,Geography,100%,University of Hawaii at Manoa
657,Luca MacChiarulo,4.5,Engineering,,University of Hawaii at Manoa
658,Feng Wu,0.0,Business,,University of Hawaii at Manoa
659,Aparajita Jeedigunta,3.3,Women's Studies,,University of Hawaii at Manoa
660,Archimedes Gatchalian,3.5,Economics,,University of Hawaii at Manoa
661,Patrick Ball,4.7,Anthropology,,University of Hawaii at Manoa
662,Robert Boller,4.3,Communicology,,University of Hawaii at Manoa
663,Lani Brown,4.6,Family Studies,100%,University of Hawaii at Manoa
664,Kathryn Hoffman,4.5,Literature,,University of Hawaii at Manoa
665,Tom Gammarino,4.7,English,,University of Hawaii at Manoa
666,Phillip Drake,4.9,English,,University of Hawaii at Manoa
667,Pono Fernandez,4.5,Hawaiian,,University of Hawaii at Manoa
668,David Hunter,2.8,Finance,0%,University of Hawaii at Manoa
669,Elise Thompson,3.8,Nursing,,University of Hawaii at Manoa
670,Maria Guerriero,5.0,Nursing,,University of Hawaii at Manoa
671,Jing Ai,3.3,Finance,,University of Hawaii at Manoa
672,Cliff Morden,4.9,Botany,100%,University of Hawaii at Manoa
673,Michelle Manes,4.7,Mathematics,100%,University of Hawaii at Manoa
674,Calvin Collins,0.0,Art History,,University of Hawaii at Manoa
675,Beei-Huan Chao,4.3,Engineering,,University of Hawaii at Manoa
676,Jill Dahlman,3.0,English,0%,University of Hawaii at Manoa
677,Eileen Tamura,4.0,Education,,University of Hawaii at Manoa
678,Maiko Ikeda,3.9,Japanese,80%,University of Hawaii at Manoa
679,Eun Ho Kim,4.8,Korean,,University of Hawaii at Manoa
680,Heisoon Yang,3.5,Korean,,University of Hawaii at Manoa
681,Chiara Bauzulli,4.5,Languages,,University of Hawaii at Manoa
682,James Hafford,3.9,Linguistics,,University of Hawaii at Manoa
683,Dana Davidson,4.0,Family Studies,,University of Hawaii at Manoa
684,Ida Yoshinaga,4.5,English,72%,University of Hawaii at Manoa
685,"Karyn ""Mo"" Wells",3.9,American Studies,100%,University of Hawaii at Manoa
686,James Douglas,2.2,Biology,,University of Hawaii at Manoa
687,Kazue Kanno,4.9,Japanese,100%,University of Hawaii at Manoa
688,Nina Etkin,0.0,Anthropology,,University of Hawaii at Manoa
689,Tyler Salvo,4.5,Spanish,,University of Hawaii at Manoa
690,Justin Kam,0.0,Athletics,,University of Hawaii at Manoa
691,Justin Kam,0.0,Economics,,University of Hawaii at Manoa
692,Pahole Sookkasikon,0.0,Asian Studies,,University of Hawaii at Manoa
693,Kristin McAndrews,3.7,English,50%,University of Hawaii at Manoa
694,Richard Day,3.2,Languages,100%,University of Hawaii at Manoa
695,Jinhyun Jun,4.2,Travel Industry,67%,University of Hawaii at Manoa
696,Geoffrey Mathews,2.9,Astronomy,19%,University of Hawaii at Manoa
697,Jeffrey Gillis,3.4,Geology,,University of Hawaii at Manoa
698,Dwight Hopkins,0.0,Religion,,University of Hawaii at Manoa
699,Anna Gleisberg,4.7,English,,University of Hawaii at Manoa
700,Hui Jiang,3.3,East Asian Lang. & Literature,,University of Hawaii at Manoa
701,Stuart Harten,5.0,History,,University of Hawaii at Manoa
702,Ann Bayer,5.0,Education,,University of Hawaii at Manoa
703,William Yu,0.0,Korean,,University of Hawaii at Manoa
704,Francoise Robert,2.0,Biology,,University of Hawaii at Manoa
705,Alex Bergo,2.9,Communication,,University of Hawaii at Manoa
706,Paula Morelli,5.0,Social Work,,University of Hawaii at Manoa
707,Rowan Gard,5.0,Anthropology,,University of Hawaii at Manoa
708,Patricia Halagao,4.7,Education,,University of Hawaii at Manoa
709,Bruce Houghton,4.5,Geology,,University of Hawaii at Manoa
710,Bjoern Kjos-Hanssen,2.2,Mathematics,40%,University of Hawaii at Manoa
711,Steven Itoga,0.0,Computer Science,,University of Hawaii at Manoa
712,Ilia Roussev,4.7,Astronomy,,University of Hawaii at Manoa
713,Adriana Diaz,1.0,Spanish,,University of Hawaii at Manoa
714,Brad Nakamura,0.0,Psychology,,University of Hawaii at Manoa
715,Rikki Hickey,4.0,Theater,,University of Hawaii at Manoa
716,Joseph Cardinale,4.3,English,,University of Hawaii at Manoa
717,Farshad Rajabipour,5.0,Engineering,,University of Hawaii at Manoa
718,Rawitawan Pulam,0.0,English,,University of Hawaii at Manoa
719,Alvin Lim,4.7,Political Science,,University of Hawaii at Manoa
720,David Maine,3.8,English,,University of Hawaii at Manoa
721,John Laimana,4.0,Hawaiian Studies,,University of Hawaii at Manoa
722,Esther HU,3.2,Astronomy,,University of Hawaii at Manoa
723,B.J. Awa,3.7,Economics,0%,University of Hawaii at Manoa
724,Hikari Nishida,5.0,Japanese,,University of Hawaii at Manoa
725,QI Chen,3.0,Geography,50%,University of Hawaii at Manoa
726,Zachary Tomashosky,3.8,French,,University of Hawaii at Manoa
727,BJ Awa,4.5,Economics,,University of Hawaii at Manoa
728,Holly Kim,4.9,French,,University of Hawaii at Manoa
729,Byron Yasui,0.0,Music,,University of Hawaii at Manoa
730,Cynthia Ning,4.3,Asian Studies,,University of Hawaii at Manoa
731,David Vicic,2.4,Chemistry,,University of Hawaii at Manoa
732,Rhian Waller,4.0,Oceanography,,University of Hawaii at Manoa
733,David Griffith,4.5,Theater,,University of Hawaii at Manoa
734,Stephen Itoga,1.3,Computer Science,,University of Hawaii at Manoa
735,Karen Huang,5.0,Linguistics,,University of Hawaii at Manoa
736,In Mei Sou,1.8,Engineering,,University of Hawaii at Manoa
737,Peter Mataira,4.8,Social Work,,University of Hawaii at Manoa
738,Sarah Hadmack,4.6,Religion,,University of Hawaii at Manoa
739,Stephen Niles,4.1,Fine Arts,,University of Hawaii at Manoa
740,Hosam Dakhakhni,5.0,Accounting,,University of Hawaii at Manoa
741,Francisco Brignole,4.0,Spanish,,University of Hawaii at Manoa
742,Jawee Perla,2.8,Linguistics,100%,University of Hawaii at Manoa
743,Alexander Gottlieb,4.1,Mathematics,,University of Hawaii at Manoa
744,Hiro Saito,4.2,Sociology,,University of Hawaii at Manoa
745,Aleksandar Kavcic,2.8,Engineering,,University of Hawaii at Manoa
746,Mari Ono,0.0,Social Work,,University of Hawaii at Manoa
747,Joel Fischer,0.0,Social Work,,University of Hawaii at Manoa
748,Raquel Avila,5.0,French,,University of Hawaii at Manoa
749,Wagner Awa,0.0,Economics,,University of Hawaii at Manoa
750,Kathryn Hoffmann,0.0,French,100%,University of Hawaii at Manoa
751,Daniel Randerson,4.8,Theater,,University of Hawaii at Manoa
752,Robert Benham,0.0,Kinesiology,,University of Hawaii at Manoa
753,Hope Jahren,5.0,Geology,,University of Hawaii at Manoa
754,Joyce Hwang,2.6,Travel Industry,,University of Hawaii at Manoa
755,Keita Fukushima,1.9,Physics,,University of Hawaii at Manoa
756,Jennifer Chandler,3.9,Business,,University of Hawaii at Manoa
757,Frank Haas,2.5,Travel Industry,,University of Hawaii at Manoa
758,Moti Chapagain,0.0,Medicine,,University of Hawaii at Manoa
759,Lani Starkey,4.8,Finance,,University of Hawaii at Manoa
760,Corilee Watters,4.3,Food Science,,University of Hawaii at Manoa
761,Willie Marshall,5.0,Nursing,,University of Hawaii at Manoa
762,Christopher Norton,0.0,Anthropology,,University of Hawaii at Manoa
763,Herve Collin,4.5,Physics,,University of Hawaii at Manoa
764,William Chain,4.6,Chemistry,,University of Hawaii at Manoa
765,Gary Varner,2.0,Physics,0%,University of Hawaii at Manoa
766,Keri Fehrenbach,2.5,Speech,,University of Hawaii at Manoa
767,Diane Masuo,2.3,Family Studies,12%,University of Hawaii at Manoa
768,Byong Lee,2.0,Music,0%,University of Hawaii at Manoa
769,Keith Fong,3.1,Biochemistry,,University of Hawaii at Manoa
770,Irina Velicu,1.0,Political Science,,University of Hawaii at Manoa
771,Nate Brown,0.0,Mathematics,,University of Hawaii at Manoa
772,Alex Rhinehart,0.0,Kinesiology,,University of Hawaii at Manoa
773,Gordana Kostich,0.0,Architecture,,University of Hawaii at Manoa
774,Luca Onnis,0.0,Linguistics,,University of Hawaii at Manoa
775,Shan Lan,4.5,East Asian Lang. & Literature,,University of Hawaii at Manoa
776,Geoff Patterson,5.0,Mathematics,,University of Hawaii at Manoa
777,Barbara Matthews,0.0,Nursing,,University of Hawaii at Manoa
778,Barbara Kooker,2.5,Nursing,,University of Hawaii at Manoa
779,Aaron Creller,4.5,Philosophy,100%,University of Hawaii at Manoa
780,Eric Gaidos,4.0,Geology,100%,University of Hawaii at Manoa
781,Brent Rubio,4.8,Chemistry,,University of Hawaii at Manoa
782,Yuma Totani,4.4,History,100%,University of Hawaii at Manoa
783,Eric Umemoto,3.4,Biology,55%,University of Hawaii at Manoa
784,Eun Bum Cho,0.0,Management,,University of Hawaii at Manoa
785,Paul Beaumont,4.5,Chemistry,,University of Hawaii at Manoa
786,Katie Drager,3.3,Linguistics,,University of Hawaii at Manoa
787,Alexandra Springer,4.3,Sociology,,University of Hawaii at Manoa
788,Jason Michael Adams,0.0,Political Science,,University of Hawaii at Manoa
789,Jason Adams,5.0,Political Science,,University of Hawaii at Manoa
790,Keao Nesmith,4.2,Hawaiian,100%,University of Hawaii at Manoa
791,Margaret South,0.0,Academy for Creative Media,,University of Hawaii at Manoa
792,Kyle Takaki,4.3,Philosophy,,University of Hawaii at Manoa
793,Gareth Wynn-Williams,2.9,Astronomy,,University of Hawaii at Manoa
794,Hunter Hatfield,0.0,Linguistics,,University of Hawaii at Manoa
795,Alexander Vovin,3.9,Japanese,100%,University of Hawaii at Manoa
796,James Collins,0.0,Linguistics,,University of Hawaii at Manoa
797,Jennifer Kearns,4.0,Education,100%,University of Hawaii at Manoa
798,Dusko Pavlovic,3.0,Computer Science,50%,University of Hawaii at Manoa
799,Kathleen Lewis,0.0,Hawaiian,,University of Hawaii at Manoa
800,Leora Kava,4.8,English,100%,University of Hawaii at Manoa
801,Zoia Stoytcheva,4.0,Honors,100%,University of Hawaii at Manoa
802,Anna Pruitt,4.3,Psychology,100%,University of Hawaii at Manoa
803,Aaron Hunger,3.0,Political Science,0%,University of Hawaii at Manoa
804,Hui HE,3.5,Economics,,University of Hawaii at Manoa
805,Lukasz Grabarek,3.5,Mathematics,100%,University of Hawaii at Manoa
806,Amy Wisner,4.9,Speech,,University of Hawaii at Manoa
807,Maria Stewart,4.8,Nutrition,,University of Hawaii at Manoa
808,Emilio Herrero,3.9,Geology,50%,University of Hawaii at Manoa
809,Isabella Tobin,4.5,Mathematics,100%,University of Hawaii at Manoa
810,Lindsay Mochkatel,0.0,Education,,University of Hawaii at Manoa
811,Ava Fedorov,5.0,Fine Arts,100%,University of Hawaii at Manoa
812,Alexander Gitter,0.0,History,,University of Hawaii at Manoa
813,Nandini Chandra,4.3,English,92%,University of Hawaii at Manoa
814,Theresa Lock,2.8,Education,25%,University of Hawaii at Manoa
815,Ali Musleh,4.8,Political Science,100%,University of Hawaii at Manoa
816,Joseph Harroff,4.3,Philosophy,88%,University of Hawaii at Manoa
817,Marina George,5.0,Art History,100%,University of Hawaii at Manoa
